model,horizon,feature_set,n_patients,n_test_samples,rmse_micro,mae_micro,rmse_macro,mae_macro,rmse_std,mae_std,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper
Persistence,30,E0,25,46356,19.834500489499824,13.60760498046875,22.263361341055283,15.894027862548828,6.165885299866938,4.75208753890811,19.89484186874529,24.684631726657905,14.101957750320434,17.805719816207887
LinearTrend,30,E0,25,46356,24.1557459217296,13.192717552185059,25.78937311258356,15.317457842826844,19.61607171152811,9.819882996057572,19.948142190868595,35.22503131271258,12.262530580401421,19.98517910861969
Ridge,30,E0,25,46356,16.152044756150456,11.107873916625977,18.03102781473798,12.763353805541993,4.675163528036244,3.205534588352743,16.305302489771616,19.920019170427885,11.595110210418701,14.037221097946167
RandomForest,30,E0,25,46356,15.653134346678259,10.601695090707352,17.155050675296206,11.94133275026872,4.404754229505197,3.1941817923000038,15.518274632147229,18.859565115055346,10.73562755249127,13.20387818654622
XGBoost,30,E0,25,46356,15.968899063638904,10.961806297302246,17.784980009079305,12.592455387115479,4.569651915399957,3.2712661949041344,16.03653693370811,19.59239484977684,11.317442966461181,13.86180905723572
Persistence,60,E0,25,46334,33.10148782296273,23.032878875732422,37.5823636037582,27.429207000732422,10.78039181309607,8.384529470725939,33.49005051636525,41.738912736073324,24.21689909553528,30.67438992404938
LinearTrend,60,E0,25,46334,53.11710649078247,31.100400924682617,57.97269234001933,36.70685069084168,38.7568701297182,21.154644609353547,46.13812681986709,76.52930547614294,29.805514879465104,46.277783538818355
Ridge,60,E0,25,46334,29.048533900652263,20.964872360229492,33.22599199066758,24.830963096618653,8.185131737922038,6.311162585149048,30.25200942951234,36.56058492985227,22.471374543190002,27.237101814270016
RandomForest,60,E0,25,46334,28.706115217236253,20.546347657718034,32.37821014798746,23.974787092020804,8.21498832685998,6.395529924760893,29.303126103850268,35.516812166511784,21.55708069968215,26.402292818027583
XGBoost,60,E0,25,46334,28.67765183629493,20.55312156677246,32.59248882167051,24.231476097106935,8.421703868643998,6.384399446873818,29.399248653646346,35.83750986473155,21.79057468032837,26.697876594543455
Persistence,120,E0,25,46292,48.91709394555369,35.161827087402344,56.585086061835675,42.92844337463379,16.062686927149613,12.714375653352715,50.472792927595094,62.81494572532836,38.167287429809576,47.79892945861817
LinearTrend,120,E0,25,46292,112.33929059299555,68.08414459228516,123.99352688156114,81.8951343345642,78.56512984751595,45.844509461320364,99.92063287541895,161.2209730424608,66.9621066865921,102.88076928186416
Ridge,120,E0,25,46292,43.14208079986624,32.895782470703125,50.73656984997262,40.23247108459473,12.426034270560232,10.558035421849413,46.23725809711424,55.64999231281243,36.5452029247284,44.279856609344485
RandomForest,120,E0,25,46292,43.76364576050214,32.96781989374465,50.94782300286485,39.97896152540033,12.61776222269267,10.468100263261102,46.40309224327748,55.679554492324904,36.168354857180624,43.80496140876307
XGBoost,120,E0,25,46292,42.738509569184934,32.29457473754883,49.8247821385927,39.023710861206055,12.25078277694304,10.069923535976063,45.37980484697765,54.458337400244176,35.47384717178345,42.79423356628418
